"model_slug","context_bin","avg_score"
"google/gemini-3.1-pro-preview:thinking:high","8k","98.25"
"google/gemini-3.1-pro-preview:thinking:high","16k","95.60"
"google/gemini-3.1-pro-preview:thinking:high","32k","98.67"
"google/gemini-3.1-pro-preview:thinking:high","64k","90.09"
"google/gemini-3.1-pro-preview:thinking:high","128k","71.89"
"google/gemini-3.1-pro-preview:thinking:high","256k","59.08"
"google/gemini-3.1-pro-preview:thinking:high","512k","39.39"
"google/gemini-3.1-pro-preview:thinking:high","1M","25.88"
"amazon/nova-2-lite-v1:thinking","8k","50.39"
"amazon/nova-2-lite-v1:thinking","16k","48.81"
"amazon/nova-2-lite-v1:thinking","32k","43.20"
"amazon/nova-2-lite-v1:thinking","64k","48.97"
"amazon/nova-2-lite-v1:thinking","128k","40.01"
"amazon/nova-2-lite-v1:thinking","256k","23.15"
"amazon/nova-2-lite-v1:thinking","512k","20.16"
"amazon/nova-2-lite-v1:thinking","1M","21.62"
"openai/gpt-5.2:thinking:xhigh","8k","95.44"
"openai/gpt-5.2:thinking:xhigh","16k","87.95"
"openai/gpt-5.2:thinking:xhigh","32k","93.12"
"openai/gpt-5.2:thinking:xhigh","64k","88.22"
"openai/gpt-5.2:thinking:xhigh","128k","75.72"
"openai/gpt-5.2:thinking:xhigh","256k","63.93"
"x-ai/grok-4.1-fast:thinking","8k","81.76"
"x-ai/grok-4.1-fast:thinking","16k","58.93"
"x-ai/grok-4.1-fast:thinking","32k","54.48"
"x-ai/grok-4.1-fast:thinking","64k","35.65"
"x-ai/grok-4.1-fast:thinking","128k","25.65"
"x-ai/grok-4.1-fast:thinking","256k","18.16"
"x-ai/grok-4.1-fast:thinking","512k","12.32"
"x-ai/grok-4.1-fast:thinking","1M","7.90"
"anthropic/claude-sonnet-4","8k","38.48"
"anthropic/claude-sonnet-4","16k","35.60"
"anthropic/claude-sonnet-4","32k","23.48"
"anthropic/claude-sonnet-4","64k","25.25"
"anthropic/claude-sonnet-4","128k","15.73"
"anthropic/claude-sonnet-4","256k","30.36"
"anthropic/claude-opus-4.5:thinking","8k","77.96"
"anthropic/claude-opus-4.5:thinking","16k","56.23"
"anthropic/claude-opus-4.5:thinking","32k","46.72"
"anthropic/claude-opus-4.5:thinking","64k","35.26"
"anthropic/claude-opus-4.5:thinking","128k","27.09"
"mistralai/ministral-14b-2512","8k","17.88"
"mistralai/ministral-14b-2512","16k","19.08"
"mistralai/ministral-14b-2512","32k","16.82"
"mistralai/ministral-14b-2512","64k","16.71"
"mistralai/ministral-14b-2512","128k","12.56"
"mistralai/ministral-14b-2512","256k","11.02"
"deepseek/deepseek-v3.2:thinking","8k","45.24"
"deepseek/deepseek-v3.2:thinking","16k","35.05"
"deepseek/deepseek-v3.2:thinking","32k","29.91"
"deepseek/deepseek-v3.2:thinking","64k","26.45"
"deepseek/deepseek-v3.2:thinking","128k","21.18"